"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories",,,,,,,,
Frequency: Occasional,,,,,,,,
Table: 98-10-0404-01,,,,,,,,
Release date: 2023-10-04,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,,
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)",,,,,,,,
,,,,,,,,
Geography,Canada i1,,,,,,,
Age (2) 1,Total - Age 7,,,,,,,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 8",,,,,,,
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 9,,,45.10 Political science and government,,,,
Gender (3) 5 6,Total - Gender,Men+ 10,Women+ 11,Total - Gender,Men+ 10,Women+ 11,,
41409 Other professional occupations in social science,"7,210","2,645","4,570",190,115,75,,
"42 Front-line public protection services and paraprofessional occupations in legal, social, community, education services","633,015","160,100","472,915","3,725","1,640","2,080",,
421 Occupations in front-line public protection services,"111,625","91,390","20,235","1,000",815,185,,
4210 Occupations in front-line public protection services,"111,625","91,390","20,235","1,000",815,185,,
42100 Police officers (except commissioned),"75,200","57,145","18,050",870,700,170,,
42101 Firefighters,"34,795","32,810","1,985",125,110,10,,
42102 Specialized members of the Canadian Armed Forces,"1,625","1,425",200,0,0,0,,
"422 Paraprofessional occupations in legal, social, community and education services","521,395","68,710","452,680","2,720",825,"1,895",,
"4220 Paraprofessional occupations in legal, social, community and education services","521,395","68,710","452,680","2,720",825,"1,895",,
42200 Paralegals and related occupations,"33,680","5,245","28,435",770,250,515,,
42201 Social and community service workers,"194,275","45,730","148,540","1,295",505,790,,
42202 Early childhood educators and assistants,"248,345","9,555","238,790",565,50,515,,
42203 Instructors of persons with disabilities,"35,415","4,430","30,990",20,0,20,,
42204 Religion workers,"9,680","3,755","5,920",70,20,55,,
43 Assisting occupations in education and in legal and public protection,"247,315","95,155","152,165","1,610",930,685,,
431 Assisting occupations in educational,"157,785","29,400","128,385",605,230,375,,
4310 Assisting occupations in education,"157,785","29,400","128,385",605,230,375,,
43100 Elementary and secondary school teacher assistants,"113,410","10,805","102,610",280,50,230,,
43109 Other instructors,"44,375","18,595","25,780",320,180,140,,
432 Assisting occupations in legal and public protection,"89,530","65,755","23,780","1,005",700,305,,
4320 Assisting occupations in legal and public protection,"89,530","65,755","23,780","1,005",700,305,,
43200 Sheriffs and bailiffs,"5,620","4,150","1,470",65,45,15,,
43201 Correctional service officers,"25,680","17,355","8,325",135,120,15,,
43202 By-law enforcement and other regulatory officers,"10,970","7,050","3,925",135,85,45,,
"43203 Border services, customs, and immigration officers","10,780","5,905","4,875",460,275,190,,
43204 Operations members of the Canadian Armed Forces,"36,480","31,300","5,180",210,175,35,,
44 Care providers and legal and public protection support occupations,"139,450","19,985","119,465",350,95,250,,
441 Home care provider occupations,"129,300","11,035","118,265",280,50,235,,
4410 Home care provider occupations,"129,300","11,035","118,265",280,50,235,,
44100 Home child care providers,"69,820","4,330","65,485",190,15,170,,
"44101 Home support workers, caregivers and related occupations","59,480","6,705","52,780",90,30,60,,
442 Primary combat members of the Canadian Armed Forces,"10,150","8,950","1,200",70,50,20,,
4420 Primary combat members of the Canadian Armed Forces,"10,150","8,950","1,200",70,50,20,,
44200 Primary combat members of the Canadian Armed Forces,"10,150","8,950","1,200",70,50,20,,
"45 Student monitors, crossing guards and related occupations","35,020","5,790","29,230",125,40,85,,
"451 Student monitors, crossing guards and related occupations","35,020","5,790","29,230",125,40,85,,
"4510 Student monitors, crossing guards and related occupations","35,020","5,790","29,230",125,40,85,,
"45100 Student monitors, crossing guards and related occupations","35,020","5,790","29,230",125,40,85,,
"5 Occupations in art, culture, recreation and sport","697,260","319,920","377,340","5,335","2,790","2,545",,
"50 Specialized middle management occupations in art, culture, recreation and sport","27,955","13,085","14,870",385,215,170,,
"500 Specialized middle management occupations in art, culture, recreation and sport","27,955","13,085","14,870",385,215,170,,
"5001 Managers in art, culture, recreation and sport","27,955","13,085","14,870",385,215,170,,
"50010 Library, archive, museum and art gallery managers","5,070","1,270","3,800",65,30,35,,
"50011 Managers - publishing, motion pictures, broadcasting and performing arts","8,830","4,430","4,400",145,85,55,,
"50012 Recreation, sports and fitness program and service directors","14,060","7,380","6,670",175,100,75,,
51 Professional occupations in art and culture,"174,675","79,425","95,250","2,565","1,370","1,195",,
511 Professional occupations in art and culture,"174,675","79,425","95,250","2,565","1,370","1,195",,
"5110 Librarians, archivists, conservators and curators","13,215","3,105","10,115",90,20,70,,
51100 Librarians,"9,355","1,850","7,500",55,15,40,,
51101 Conservators and curators,"2,210",695,"1,515",15,0,15,,
51102 Archivists,"1,650",560,"1,095",25,0,20,,
"5111 Writing, translating and related communications professionals","83,835","31,830","52,005","1,900","1,005",890,,
51110 Editors,"15,890","5,360","10,530",340,200,140,,
51111 Authors and writers (except technical),"27,745","11,335","16,410",675,320,350,,
51112 Technical writers,"8,990","3,505","5,485",90,45,40,,
51113 Journalists,"11,360","5,915","5,445",510,300,210,,
"51114 Translators, terminologists and interpreters","19,850","5,720","14,135",290,140,155,,
5112 Creative and performing artists,"77,625","44,490","33,140",575,350,235,,
"51120 Producers, directors, choreographers and related occupations","36,200","23,490","12,710",450,265,185,,
"51121 Conductors, composers and arrangers","3,930","2,700","1,230",45,35,10,,
51122 Musicians and singers,"37,495","18,300","19,200",85,45,40,,
"52 Technical occupations in art, culture and sport","215,790","106,135","109,650","1,085",525,565,,
521 Technical occupations in art and culture,"215,790","106,135","109,650","1,085",525,565,,
5210 Technical occupations in libraries and public archives,"10,365","1,345","9,015",75,25,50,,
52100 Library and public archive technicians,"10,365","1,345","9,015",75,25,50,,
"5211 Technical occupations in motion pictures, broadcasting and the performing arts","84,365","56,605","27,760",565,340,225,,
52110 Film and video camera operators,"5,930","5,160",775,40,35,0,,
52111 Graphic arts technicians,"13,420","9,105","4,315",25,15,10,,
52112 Broadcast technicians,"1,960","1,715",245,0,0,0,,
52113 Audio and video recording technicians,"28,340","23,025","5,310",90,55,35,,
52114 Announcers and other broadcasters,"5,400","3,315","2,080",95,80,15,,
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","29,315","14,285","15,030",315,150,170,,
5212 Graphic and interior designers,"121,060","48,185","72,875",445,160,285,,
52120 Graphic designers and illustrators,"88,935","42,335","46,595",290,130,160,,
52121 Interior designers and interior decorators,"32,125","5,845","26,280",150,30,125,,
"53 Occupations in art, culture and sport","154,660","69,870","84,790",820,465,355,,
531 Occupations in art and culture,"128,400","53,110","75,295",615,355,260,,
5310 Occupations related to museums and art galleries,"6,875","2,905","3,960",35,15,20,,
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries","6,875","2,905","3,960",35,15,20,,
5311 Photographers and support occupations in arts and culture,"34,285","18,875","15,405",220,135,85,,
53110 Photographers,"20,540","9,690","10,850",115,55,65,,
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators","13,740","9,185","4,555",110,80,25,,
5312 Occupations in creative and performing art,"87,245","31,325","55,920",360,205,155,,
53120 Dancers,"10,910","1,500","9,410",35,0,25,,
"53121 Actors, comedians and circus performers","19,595","9,920","9,675",135,105,30,,
"53122 Painters, sculptors and other visual artists","21,460","7,420","14,045",80,45,35,,
"53123 Theatre, fashion, exhibit and other creative designers","14,940","5,390","9,550",60,30,35,,
53124 Artisans and craftspersons,"19,615","6,895","12,720",55,30,25,,
"53125 Patternmakers - textile, leather and fur products",725,205,520,0,0,0,,
532 Occupations in sports,"26,260","16,765","9,500",200,105,95,,
"5320 Athletes, coaches, referees and related occupations","26,260","16,765","9,500",200,105,95,,
53200 Athletes,"4,375","3,580",790,10,10,0,,
53201 Coaches,"16,695","9,000","7,700",185,95,90,,
53202 Sports officials and referees,"5,190","4,180","1,015",10,0,0,,
54 Support occupations in sport,"118,830","48,935","69,900",470,200,265,,
541 Support occupations in sport,"118,830","48,935","69,900",470,200,265,,
"5410 Program leaders and instructors in recreation, sport and fitness","118,830","48,935","69,900",470,200,265,,
"54100 Program leaders and instructors in recreation, sport and fitness","118,830","48,935","69,900",470,200,265,,
55 Support occupations in art and culture,"5,355","2,480","2,875",20,20,0,,
551 Support occupations in art and culture,"5,355","2,480","2,875",20,20,0,,
5510 Support occupations in art and culture,"5,355","2,480","2,875",20,20,0,,
55109 Other performers,"5,355","2,480","2,875",20,20,0,,
6 Sales and service occupations,"5,226,370","2,316,525","2,909,845","21,090","12,170","8,925",,
60 Middle management occupations in retail and wholesale trade and customer services,"716,470","405,065","311,405","4,785","3,170","1,620",,
600 Middle management occupations in retail and wholesale trade and customer services,"716,470","405,065","311,405","4,785","3,170","1,620",,
6001 Corporate sales managers,"80,170","53,655","26,515","1,015",705,310,,
60010 Corporate sales managers,"80,170","53,655","26,515","1,015",705,310,,
6002 Retail and wholesale trade managers,"418,375","241,185","177,190","2,595","1,750",845,,
60020 Retail and wholesale trade managers,"418,375","241,185","177,190","2,595","1,750",845,,
6003 Managers in food service and accommodation,"188,580","97,435","91,145","1,020",625,395,,
60030 Restaurant and food service managers,"158,235","83,455","74,780",840,520,320,,
60031 Accommodation service managers,"30,350","13,980","16,370",180,110,70,,
6004 Managers in customer and personal services,"29,345","12,800","16,545",165,95,65,,
60040 Managers in customer and personal services,"29,345","12,800","16,545",165,95,65,,
62 Retail sales and service supervisors and specialized occupations in sales and services,"362,875","197,655","165,220","1,665","1,000",670,,
620 Retail sales and service supervisors,"188,165","81,220","106,945",715,320,395,,
6201 Retail sales supervisors,"65,105","25,180","39,915",255,100,150,,
62010 Retail sales supervisors,"65,105","25,180","39,915",255,100,150,,
6202 Service supervisors,"123,065","56,040","67,025",465,220,245,,
62020 Food service supervisors,"77,160","32,525","44,635",235,95,145,,
62021 Executive housekeepers,"2,030",445,"1,585",0,0,0,,
"62022 Accommodation, travel, tourism and related services supervisors","6,425","2,920","3,500",15,10,0,,
62023 Customer and information services supervisors,"11,025","3,965","7,055",75,35,40,,
62024 Cleaning supervisors,"14,420","7,755","6,670",45,30,15,,
62029 Other services supervisors,"12,005","8,425","3,580",90,50,40,,
621 Specialized sales occupations,"91,295","56,925","34,365",740,525,215,,
6210 Technical sales specialists in wholesale trade and retail and wholesale buyers,"91,295","56,925","34,365",740,525,215,,
62100 Technical sales specialists - wholesale trade,"53,625","40,055","13,570",590,440,150,,
62101 Retail and wholesale buyers,"37,665","16,875","20,795",145,90,60,,
622 Specialized services occupations,"83,420","59,510","23,910",215,150,65,,
6220 Specialized occupations in services,"83,420","59,510","23,910",215,150,65,,
62200 Chefs,"73,355","54,030","19,325",180,135,40,,
62201 Funeral directors and embalmers,"5,625","2,985","2,640",15,10,0,,
"62202 Jewellers, jewellery and watch repairers and related occupations","4,435","2,495","1,940",20,0,15,,
63 Occupations in sales and services,"733,790","308,420","425,370","3,580","2,125","1,455",,
631 Occupations in sales,"268,495","124,470","144,025","2,985","1,820","1,165",,
"6310 Insurance, real estate and financial sales occupations","268,495","124,470","144,025","2,985","1,820","1,165",,
63100 Insurance agents and brokers,"83,900","33,900","50,000",930,560,370,,
63101 Real estate agents and salespersons,"121,825","66,245","55,580","1,370",890,480,,
63102 Financial sales representatives,"62,770","24,320","38,450",690,380,310,,
632 Occupations in services,"465,290","183,950","281,340",600,305,295,,
"6320 Cooks, butchers and bakers","276,470","152,440","124,025",390,245,145,,
63200 Cooks,"212,290","123,655","88,635",305,200,105,,
63201 Butchers - retail and wholesale,"11,775","10,300","1,475",10,10,0,,
63202 Bakers,"52,400","18,485","33,920",70,30,40,,
6321 Hairstylists and estheticians,"174,220","24,775","149,445",150,25,125,,
63210 Hairstylists and barbers,"102,675","18,105","84,570",105,20,85,,
"63211 Estheticians, electrologists and related occupations","71,550","6,665","64,880",45,10,40,,
"6322 Shoe repairers, shoemakers and upholsterers","14,605","6,740","7,870",65,35,25,,
63220 Shoe repairers and shoemakers,"10,570","3,870","6,695",65,35,25,,
63221 Upholsterers,"4,040","2,865","1,175",0,0,0,,
64 Sales and service representatives and other customer and personal services occupations,"1,427,280","632,680","794,605","7,155","4,145","3,015",,
641 Retail salespersons and non-technical wholesale trade sales and account representatives,"791,130","369,675","421,455","3,485","2,150","1,335",,
6410 Retail salespersons and non-technical wholesale trade sales and account representatives,"791,130","369,675","421,455","3,485","2,150","1,335",,
64100 Retail salespersons and visual merchandisers,"722,870","324,280","398,585","2,820","1,630","1,190",,
64101 Sales and account representatives - wholesale trade (non-technical),"68,260","45,390","22,865",670,525,140,,
642 Occupations in personal service,"23,685","3,545","20,135",35,15,25,,
6420 Occupations in personal service,"23,685","3,545","20,135",35,15,25,,
"64200 Tailors, dressmakers, furriers and milliners","21,015","2,795","18,225",15,0,0,,
"64201 Image, social and other personal consultants","2,665",750,"1,915",20,0,20,,
"643 Occupations in food, accommodation and tourism","137,750","43,640","94,105",650,290,360,,
6430 Occupations in food and beverage service,"57,055","16,405","40,650",195,90,105,,
64300 Maîtres d'hôtel and hosts/hostesses,"24,220","3,285","20,935",65,10,50,,
64301 Bartenders,"32,835","13,120","19,715",130,80,50,,
6431 Occupations in travel and accommodation,"66,645","18,915","47,730",405,155,250,,
64310 Travel counsellors,"20,835","4,355","16,480",130,50,80,,
64311 Pursers and flight attendants,"12,905","2,680","10,225",145,45,100,,
64312 Airline ticket and service agents,"12,120","4,195","7,930",70,25,45,,
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","1,850",785,"1,060",0,0,0,,
64314 Hotel front desk clerks,"18,935","6,905","12,025",65,40,20,,
6432 Tourism and amusement services occupations,"14,045","8,315","5,730",50,40,0,,
64320 Tour and travel guides,"3,310","1,790","1,520",10,10,0,,
64321 Casino workers,"7,790","4,105","3,685",25,25,0,,
64322 Outdoor sport and recreational guides,"2,945","2,420",525,0,0,0,,
"644 Occupations in customer, information and protective services","474,720","215,820","258,900","2,980","1,690","1,290",,
6440 Customer and information services representatives,"341,850","114,430","227,420","2,245","1,085","1,165",,
64400 Customer services representatives - financial institutions,"63,940","16,245","47,700",425,170,250,,
64401 Postal services representatives,"8,040","2,660","5,385",50,30,20,,
64409 Other customer and information services representatives,"269,860","95,525","174,345","1,770",875,895,,
6441 Security guards and related security service occupations,"132,875","101,390","31,480",740,610,130,,
64410 Security guards and related security service occupations,"132,875","101,390","31,480",740,610,130,,
65 Sales and service support occupations,"1,985,955","772,700","1,213,255","3,900","1,730","2,170",,
651 Sales support occupations,"738,950","291,115","447,835","1,510",640,870,,
6510 Cashiers and other sales support occupations,"738,950","291,115","447,835","1,510",640,870,,
65100 Cashiers,"428,745","95,715","333,030",950,290,660,,
65101 Service station attendants,"10,815","8,175","2,640",0,0,0,,
"65102 Store shelf stockers, clerks and order fillers","263,855","173,070","90,775",435,270,160,,
65109 Other sales related occupations,"35,535","14,150","21,390",130,75,50,,
"652 Support occupations in food, accommodation and tourism","711,330","252,395","458,935","1,640",675,960,,
6520 Food support occupations,"631,305","217,600","413,705","1,410",555,860,,
65200 Food and beverage servers,"149,015","34,765","114,250",495,195,300,,
"65201 Food counter attendants, kitchen helpers and related support occupations","474,760","176,570","298,190",915,355,555,,
65202 Meat cutters and fishmongers - retail and wholesale,"7,530","6,265","1,270",10,10,0,,
"6521 Support occupations in accommodation, travel, tourism and amusement services","45,000","28,725","16,275",170,95,70,,
"65210 Support occupations in accommodation, travel and facilities set-up services","3,715","2,835",880,25,10,10,,
"65211 Operators and attendants in amusement, recreation and sport","41,285","25,890","15,390",145,85,55,,
6522 Support occupations in personal services,"35,025","6,070","28,960",60,20,40,,
65220 Pet groomers and animal care workers,"31,615","5,530","26,080",50,20,30,,
65229 Other support occupations in personal services,"3,410",540,"2,875",10,0,10,,
653 Support occupations in cleaning and related services,"535,665","229,190","306,485",755,420,335,,
6531 Cleaners,"486,670","206,515","280,160",600,315,290,,
65310 Light duty cleaners,"312,035","90,975","221,060",405,155,245,,
65311 Specialized cleaners,"48,835","40,985","7,855",35,25,10,,
"65312 Janitors, caretakers and heavy-duty cleaners","125,800","74,555","51,245",165,135,30,,
6532 Service support and related occupations,"48,995","22,670","26,325",150,105,45,,
"65320 Dry cleaning, laundry and related occupations","19,685","5,805","13,875",35,20,15,,
65329 Other service support occupations,"29,310","16,865","12,445",115,85,30,,
"7 Trades, transport and equipment operators and related occupations","3,526,800","3,204,945","321,855","6,840","5,840","1,000",,
70 Middle management occupations in trades and transportation,"290,495","240,280","50,205","1,495","1,130",365,,
700 Middle management occupations in trades and transportation,"290,495","240,280","50,205","1,495","1,130",365,,
7001 Managers in construction and facility operation and maintenance,"243,970","205,855","38,110","1,140",840,300,,
70010 Construction managers,"100,495","86,955","13,540",435,340,95,,
70011 Home building and renovation managers,"62,540","58,425","4,110",180,150,30,,
70012 Facility operation and maintenance managers,"80,935","60,475","20,460",525,345,175,,
7002 Managers in transportation and postal and courier services,"46,525","34,425","12,100",355,290,70,,
70020 Managers in transportation,"42,175","31,775","10,395",335,275,65,,
70021 Postal and courier services managers,"4,350","2,650","1,700",20,15,0,,
72 Technical trades and transportation officers and controllers,"1,358,050","1,300,890","57,165","1,545","1,430",115,,
720 Technical trades contractors and supervisors,"211,365","190,980","20,385",485,430,55,,
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","114,670","107,670","7,000",240,225,15,,
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","14,405","13,575",835,25,25,0,,
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","24,600","22,945","1,655",40,35,0,,
"72012 Contractors and supervisors, pipefitting trades","8,485","8,115",370,15,15,0,,
"72013 Contractors and supervisors, carpentry trades","16,465","15,990",475,40,35,0,,
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","50,715","47,045","3,670",120,110,10,,
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","96,695","83,310","13,390",245,205,40,,
"72020 Contractors and supervisors, mechanic trades","27,340","25,470","1,870",60,50,0,,
"72021 Contractors and supervisors, heavy equipment operator crews","45,785","44,015","1,770",65,55,10,,
"72022 Supervisors, printing and related occupations","2,185","1,375",805,10,10,0,,
"72023 Supervisors, railway transport operations","1,305","1,135",170,10,10,0,,
"72024 Supervisors, motor transport and other ground transit operators","11,370","7,875","3,500",65,55,10,,
"72025 Supervisors, mail and message distribution occupations","8,715","3,440","5,275",40,25,15,,
721 Technical industrial trades,"192,025","184,035","7,990",95,85,15,,
"7210 Machining, metal forming, shaping and erecting trades","192,025","184,035","7,990",95,85,15,,
72100 Machinists and machining and tooling inspectors,"39,290","37,495","1,795",15,10,0,,
72101 Tool and die makers,"10,590","10,110",485,0,0,0,,
72102 Sheet metal workers,"20,320","19,810",505,10,10,0,,
72103 Boilermakers,"4,250","4,140",115,0,0,0,,
72104 Structural metal and platework fabricators and fitters,"7,030","6,825",210,0,0,0,,
72105 Ironworkers,"14,285","13,970",315,10,0,0,,
72106 Welders and related machine operators,"96,255","91,690","4,565",50,45,0,,
722 Technical electrical trades,"180,405","174,540","5,865",215,200,15,,
7220 Technical electrical trades and electrical power line and telecommunications workers,"180,405","174,540","5,865",215,200,15,,
72200 Electricians (except industrial and power system),"106,205","103,470","2,735",115,115,0,,
72201 Industrial electricians,"22,910","22,470",440,15,15,0,,
72202 Power system electricians,"5,210","5,025",185,0,0,0,,
72203 Electrical power line and cable workers,"13,785","13,535",245,15,15,0,,
72204 Telecommunications line and cable installers and repairers,"10,465","10,050",415,15,15,0,,
72205 Telecommunications equipment installation and cable television service technicians,"21,835","19,995","1,845",60,50,10,,
723 Technical construction trades,"312,860","304,235","8,625",280,270,15,,
"7230 Plumbers, pipefitters and gas fitters","86,315","84,630","1,680",55,55,0,,
72300 Plumbers,"56,385","55,420",970,40,40,0,,
"72301 Steamfitters, pipefitters and sprinkler system installers","22,585","22,130",460,10,10,0,,
72302 Gas fitters,"7,340","7,090",255,10,10,0,,
7231 Carpenters and cabinetmakers,"197,690","191,735","5,955",205,190,15,,
72310 Carpenters,"179,755","175,400","4,350",175,170,10,,
72311 Cabinetmakers,"17,940","16,335","1,605",30,30,0,,
7232 Bricklayers and insulators,"28,850","27,860",990,20,20,0,,
72320 Bricklayers,"18,830","18,610",220,20,20,0,,
72321 Insulators,"10,025","9,250",775,0,0,0,,
724 Technical maintenance trades,"403,465","394,190","9,280",240,235,0,,
7240 Machinery and transportation equipment mechanics (except motor vehicles),"179,180","175,390","3,795",130,130,0,,
72400 Construction millwrights and industrial mechanics,"69,280","68,080","1,205",30,30,0,,
72401 Heavy-duty equipment mechanics,"47,265","46,740",530,20,20,0,,
"72402 Heating, refrigeration and air conditioning mechanics","32,260","31,690",575,25,25,0,,
72403 Railway carmen/women,"2,560","2,485",75,0,0,0,,
72404 Aircraft mechanics and aircraft inspectors,"19,510","18,295","1,215",35,35,0,,
72405 Machine fitters,"2,195","2,060",140,0,0,0,,
72406 Elevator constructors and mechanics,"6,115","6,050",65,10,10,0,,
7241 Automotive service technicians,"195,085","190,475","4,605",95,95,0,,
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","162,840","159,790","3,055",80,80,0,,
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","32,245","30,685","1,555",10,10,0,,
7242 Small engine and equipment mechanics and related repairers (including electrical components),"29,200","28,325",875,15,15,0,,
72420 Oil and solid fuel heating mechanics,"1,760","1,730",30,0,0,0,,
72421 Appliance servicers and repairers,"6,355","6,160",195,10,10,0,,
72422 Electrical mechanics,"10,920","10,505",420,0,0,0,,
"72423 Motorcycle, all-terrain vehicle and other related mechanics","7,210","7,030",180,10,10,0,,
72429 Other small engine and small equipment repairers,"2,950","2,905",45,0,0,0,,
725 Technical equipment operation trades,"15,190","14,820",375,0,0,0,,
7250 Crane operators and water well drillers,"15,190","14,820",375,0,0,0,,
72500 Crane operators,"14,520","14,170",350,0,0,0,,
72501 Water well drillers,670,650,25,0,0,0,,
726 Transportation officers and controllers,"32,655","29,040","3,615",220,210,10,,
7260 Transportation officers and controllers,"32,655","29,040","3,615",220,210,10,,
"72600 Air pilots, flight engineers and flying instructors","18,605","17,215","1,390",135,125,10,,
72601 Air traffic controllers and related occupations,"4,790","3,640","1,150",55,55,0,,
"72602 Deck officers, water transport","6,275","5,615",660,25,25,0,,
"72603 Engineer officers, water transport","1,535","1,455",80,0,0,0,,
72604 Railway traffic controllers and marine traffic regulators,"1,455","1,110",340,0,0,0,,
729 Other technical trades,"10,080","9,050","1,025",15,0,10,,
7299 Other technical trades,"10,080","9,050","1,025",15,0,10,,
72999 Other technical trades and related occupations,"10,080","9,050","1,025",15,0,10,,
73 General trades,"979,385","894,515","84,870","1,500","1,420",85,,
731 General construction trades,"150,485","138,180","12,310",160,145,15,,
"7310 Concrete finishers, tilesetters and plasterers","52,130","50,015","2,120",55,50,0,,
73100 Concrete finishers,"10,055","9,830",225,15,15,0,,
73101 Tilesetters,"9,940","9,495",445,0,0,0,,
"73102 Plasterers, drywall installers and finishers and lathers","32,140","30,690","1,450",35,30,0,,
"7311 Roofers, glaziers, painters, decorators and floor covering installers","98,360","88,165","10,190",105,100,0,,
73110 Roofers and shinglers,"25,975","25,440",535,10,10,0,,
73111 Glaziers,"8,855","8,635",225,0,0,0,,
73112 Painters and decorators (except interior decorators),"50,135","41,205","8,930",85,75,0,,
73113 Floor covering installers,"13,390","12,885",505,10,10,0,,
"732 Building maintenance installers, servicers and repairers","187,995","173,880","14,115",270,260,15,,
"7320 Building maintenance installers, servicers and repairers","187,995","173,880","14,115",270,260,15,,
73200 Residential and commercial installers and servicers,"57,405","54,665","2,740",55,45,10,,
73201 General building maintenance workers and building superintendents,"114,085","103,945","10,140",160,155,0,,
73202 Pest controllers and fumigators,"4,555","4,075",480,10,10,0,,
73209 Other repairers and servicers,"11,955","11,195",760,40,40,0,,
733 Transportation occupations,"519,310","467,735","51,575","1,005",950,60,,
7330 Transport truck and transit drivers,"507,265","456,380","50,880",985,935,60,,
73300 Transport truck drivers,"403,855","385,670","18,185",665,645,20,,
"73301 Bus drivers, subway operators and other transit operators","103,410","70,710","32,700",320,290,35,,
7331 Train crew operating occupations,"12,045","11,350",695,15,15,0,,
73310 Railway and yard locomotive engineers,"6,115","5,745",375,0,0,0,,
73311 Railway conductors and brakemen/women,"5,930","5,610",325,10,10,0,,
"734 Operators, drillers and blasters","121,590","114,730","6,865",65,65,0,,
"7340 Operators, drillers and blasters","121,590","114,730","6,865",65,65,0,,
73400 Heavy equipment operators,"101,535","96,980","4,550",50,50,0,,
73401 Printing press operators,"15,375","13,095","2,280",10,10,0,,
"73402 Drillers and blasters - surface mining, quarrying and construction","4,685","4,650",30,0,0,0,,
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","159,250","122,570","36,680",390,285,100,,
741 Mail and message distribution occupations,"98,470","66,015","32,460",310,220,95,,
7410 Mail and message distribution occupations,"98,470","66,015","32,460",310,220,95,,
74100 Mail and parcel sorters and related occupations,"25,410","13,685","11,725",115,70,45,,
74101 Letter carriers,"34,870","20,170","14,700",115,80,35,,
74102 Couriers and messengers,"38,195","32,165","6,035",85,70,15,,
"742 Transport equipment operators, utility maintenance and related workers","60,775","56,555","4,220",75,70,0,,
"7420 Transport equipment operators, utility maintenance and related maintenance workers","60,775","56,555","4,220",75,70,0,,
74200 Railway yard and track maintenance workers,"5,985","5,760",225,0,0,0,,
74201 Water transport deck and engine room crew,"4,935","4,395",540,10,10,0,,
74202 Air transport ramp attendants,"10,280","9,080","1,205",30,30,0,,
74203 Automotive and heavy truck and equipment parts installers and servicers,"16,130","15,330",800,0,0,0,,
74204 Utility maintenance workers,"6,345","5,775",580,10,10,0,,
74205 Public works maintenance equipment operators and related workers,"17,100","16,225",875,15,15,0,,
"75 Helpers and labourers and other transport drivers, operators and labourers","739,620","646,685","92,930","1,910","1,570",335,,
751 Helpers and labourers,"510,800","445,280","65,515","1,130",860,270,,
7510 Longshore workers and material handlers,"252,320","207,160","45,160",830,570,255,,
75100 Longshore workers,"6,290","5,535",750,10,10,0,,
75101 Material handlers,"246,030","201,620","44,410",815,560,255,,
7511 Trades helpers and labourers,"258,475","238,120","20,355",300,290,10,,
75110 Construction trades helpers and labourers,"244,110","224,950","19,160",285,275,10,,
75119 Other trades helpers and labourers,"14,365","13,175","1,190",15,15,0,,
"752 Transport drivers, operators and labourers","228,820","201,405","27,415",775,710,65,,
"7520 Taxi, personal service and delivery service drivers","184,175","162,435","21,740",695,650,45,,
75200 Taxi and limousine drivers and chauffeurs,"68,390","63,675","4,720",380,375,0,,
75201 Delivery service drivers and door-to-door distributors,"115,785","98,765","17,020",315,275,40,,
7521 Water and rail transport operators and labourers and related occupations,"44,645","38,965","5,680",85,60,15,,
75210 Boat and cable ferry operators and related occupations,"3,160","2,575",590,15,0,15,,
75211 Railway and motor transport labourers,"5,685","4,765",925,10,0,0,,
75212 Public works and maintenance labourers,"35,795","31,630","4,165",60,60,0,,
"8 Natural resources, agriculture and related production occupations","617,425","472,910","144,515",815,635,180,,
80 Middle management occupations in production and agriculture,"193,100","140,735","52,365",285,205,75,,
800 Middle management occupations in production and agriculture,"193,100","140,735","52,365",285,205,75,,
8001 Managers in natural resources production and fishing,"10,665","9,520","1,155",25,15,15,,
80010 Managers in natural resources production and fishing,"10,665","9,520","1,155",25,15,15,,
"8002 Managers in agriculture, horticulture and aquaculture","182,430","131,215","51,215",260,195,65,,
80020 Managers in agriculture,"177,345","128,015","49,330",235,170,65,,
80021 Managers in horticulture,"4,120","2,395","1,720",25,25,0,,
80022 Managers in aquaculture,965,800,165,0,0,0,,
